,0
Size USD,1.0788858009343008
Start Position,0.7291166362331393
PnL_roll_std_500,0.44950994567706737
Execution Price,0.2812897011234681
Order ID,0.2547713749917865
Size Tokens,0.13079404096612257
index_value,0.08844223432144849
Fee,0.08365296928351554
Trade ID,0.01566049457040078
Timestamp,0.010410958533149089
hour,0.0
