classification,trades,avg_pnl,median_pnl,avg_volume,avg_exec
Extreme Fear,21400,34.53786207897196,0.0,5349.7318429906545,7054.795108183382
Extreme Greed,39992,67.89286133909282,0.0,3112.2515645629123,6082.195864873021
Fear,61837,54.2903996254993,0.0,7816.109930785776,14152.620221764171
Greed,50309,43.582684352322644,0.0,5737.9626623466975,13409.67719152321
Neutral,37686,34.30771839807886,0.0,4782.732661465797,12393.692778601691
